customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
2027-CWDNU,Male,0.0,Yes,Yes,,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.6,1601.5,0
2737-WFVYW,Female,0.0,No,No,2.0,No,No phone service,DSL,No,No,,No,Yes,Yse,Month-to-month,Yes,Electronic check,45.25,85.5,1
9912-OMZDS,Female,0.0,Yes,,59.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.15,6256.2,0
3733-ZEECP,Male,0.0,Yes,Yes,22.0,Yes,No,DSL,,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,51.1,232.9,0
7878-RTCZG,Female,,No,No,1238.5376145222538,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Month-to-month,No,Mailed check,19.9,19.9,0
2452-MRMZF,Female,1.0,Yes,No,72.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,N internet service,Two year,Yes,Credit card (automatic),25.7,1937.4,0
2272-QAGFO,Female,1.0,No,,14.0,Yes,Yes,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.3,1096.25,1
7103-IPXPJ,Male,,Yes,oN,,Yes,Yse,Fiber optic,No,NO,No,Yes,Yes,Yes,One year,No,Electronic check,99.4,5059.75,0
4342-HFXWS,Female,0.0,YES,Yes,48.0,Yes,No,DSL,,No,Yes,Yes,Yes,No,,oN,,69.7,3023.65,0
3545-CNWRG,FEMALE,,Yes,Yes,49.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,,,,98.35,4889.2,0
1785-BPHTP,Male,18.37901514654594,Yes,Yes,28.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-tom-onth,No,Electronic heck,85.45,2289.9,0
4989-LIXVT,Male,1.0,No,No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,,6503.2,0
7315-WYOAW,Male,0.0,No,NO,13.0,Yes,Yes,Fiber optic,,No,,Yes,,Yes,Month-to-month,No,Electronic check,,,0
1173-XZPYF,Female,0.0,oN,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,990.3,0
9850-OWRHQ,Female,0.0,Yes,No,3.0,Yes,Yes,Fiber optic,No,,No,oN,No,No,,Yes,Credit card (automatic),74.1,228,1
3768-NLUBH,Male,1.0,,No,57.0,Yes,Yes,Fiber optic,No,No,Yes,No,YES,Yes,Month-to-month,,Electronic check,100.6,,1
8676-TRMJS,Male,0.0,No,No,,Yes,Yes,Fber optic,No,No,,No,No,No,Month-to-month,No,Mailed check,75.0,209.1,1
2509-TFPJU,Male,0.0,Yes,No,72.0,Yes,Yes,No,No internet service,No internet service,,No internet service,,No internet service,Two year,No,,25.75,1864.2,0
9530-GRMJG,Male,0.0,Yes,Yes,70.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yse,Yes,Two year,Yes,Electronic check,84.1,,0
6898-RBTLU,Female,0.0,Yes,,49.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Twoyear,No,Bank transfer (automatic),,3902.45,0
5481-NTDOH,Female,,Yes,No,,Yes,Yes,Fiber optic,Yes,,Yes,No,,Yes,One year,Yes,Credit card (automatic),107.05,7142.5,0
2068-WWXQZ,Male,0.0,,No,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two ear,No,Bank transfer (automatic),20.05,902,0
7359-SSBJK,Female,1.0,No,No,64.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),,4481,1
2061-VVFST,Female,0.0,Yes,,37.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.5,805.2,0
0685-MLYYM,Femle,1.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,oN,No,,No,Electronic check,,154.85,1
0749-IRGQE,Female,,Yes,No,13.0,No,No phone service,DSL,No,No,No,No,eYs,Yes,Month-to-month,No,Electronic check,45.3,528.45,0
2380-DAMQP,FEMALE,0.0,YES,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yse,Yes,Yes,Yes,Two year,,Electronic check,115.15,8349.7,0
2256-YLYLP,Male,0.0,Yes,Yes,68.0,Yes,No,DSL,,,Yes,Yes,Yes,Yes,,Yes,Bank transfer (automatic),72.95,4953.25,0
1272-ILHFG,Male,,Yes,Yes,15.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,332.65,0
0164-XAIRP,Female,0.0,No,No,24.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55,470.2,0
5666-CYCYZ,Female,0.0,No,No,24.0,Yes,,Fiber optic,No,,No,Yes,No,Yes,Month-to-month,Yes,,89.55,2259.35,0
4011-ARPHK,Male,0.0,No,No,27.0,Yes,No,DSL,Yes,No,No,,No,No,Month-to-month,,Mailed check,50.35,1411.35,0
8182-PNAGI,Male,0.0,,No,12.0,Yes,No,DSL,No,,oN,Yes,No,No,Month-to-month,No,Bank transfer (automatic),50.25,593.75,1
6365-HITVU,Female,0.0,Yes,,71.0,Yes,No,DSL,Yes,Yes,Yes,Yse,Yes,Yes,Two year,No,Credit card (automatic),87.25,6328.7,0
7558-IMLMT,,0.0,Yes,Yes,67.0,Yes,,No,No internet service,,No internet service,,No internet service,No internet service,Two year,Yes,Mailed check,20.8,1411.9,0
9488-FYQAU,Female,0.0,,No,63.0,Yes,Yes,Fiber optic,No,Yes,Yes,,Yes,Yes,Two year,,Bank transfer (automatic),109.25,6841.4,0
3590-TCXTB,Male,0.0,No,No,1.0,Yes,,,,No internet service,,,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,20.35,0
6994-KERXL,Male,0.0,No,,4.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,,,0
7957-RYHQD,Female,1.0,,No,40.0,Yes,No,Fiber optic,Yes,,,No,No,No,Month-to-month,Yes,Credit card (automatic),79.2,3233.85,1
2180-DXNEG,Female,0.0,No,No,12.0,Yes,No,Fiber optic,No,No,Yes,,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,1062.1,1
1960-UOTYM,Male,0.0,Yes,Yes,52.0,Yes,NO,DSL,Yes,Yes,Yes,No,Yes,Ye,Two year,,Electronic check,79.2,4016.3,0
2740-JFBOK,Male,0.0,No,No,10.0,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.0,226.55,0
6500-JVEGC,Male,0.0,No,,68.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),101.35,7110.75,0
5515-AKOAJ,,0.0,No,No,,Yes,Yes,Fiber optic,No,No,,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.1,5440.9,1
8976-OQHGT,Female,0.0,Yes,Yes,,Yes,No,DSL,No,Ys,No,Yes,No,No,Month-to-month,No,Mailed check,56.5,235.1,1
5245-VDBUR,Female,0.0,Yes,No,,No,No phone service,DSL,Yes,No,Ys,No,No,No,One year,No,Mailed check,1856.6492963913934,1958.95,0
6230-BSUXY,Female,1.0,No,No,1.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85,1
8469-SNFFH,Male,0.0,eYs,,70.0,Yes,Yes,DSL,Yes,Yes,YES,Yes,Yes,No,One year,No,Bank transfer (automatic),79.4,5528.9,0
2144-ESWKO,Male,0.0,NO,,43.0,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),35.2,1463.7,0
1241-FPMOF,Male,0.0,oN,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1025.05,0
9928-BZVLZ,Female,0.0,No,No,12.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,49.85,552.1,0
4114-QMKVN,Female,0.0,Yes,Yes,56.0,Yes,Yes,DSL,Yes,Yes,oN,No,No,Yes,One year,No,Bank transfer (automatic),68.75,3815.4,0
2775-SEFEE,Male,0.0,No,Yes,1228.5376145222538,Yes,Yes,DL,Yes,Yes,No,Yes,,No,Two year,Yes,Bank transfer (automatic),61.9, ,0
9003-CPATH,Male,0.0,No,No,42.0,Yes,,Fiber optic,No,No,,No,No,No,Month-to-month,oN,,79.9,3313.4,0
1754-GKYPY,Male,1.0,Yes,No,22.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.75,1938.9,0
5294-CDGWY,Male,,Yes,Yes,51.0,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,59.3,3014.65,1
7956-XQWGU,Male,0.0,No,No,27.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.4,460.25,0
1591-MQJTP,Male,1.0,Yes,oN,51.0,Yes,Yse,,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),93.65,4839.15,0
5295-PCJOO,Male,0.0,No,Yes,4.0,Yes,No,,Yes,No,No,,No,No,,Yes,,,184.4,1
2369-FEVNO,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,MONTH-TO-MONTH,Yes,Mailed check,19.9,19.,0
9863-JZAIC,ale,0.0,No,No,35.0,Yes,,DSL,,No,No,No,Yes,NO,Month-to-month,No,Mailed check,2052.1492963913934,,1
7471-MQPOS,Male,1.0,Yes,Yes,71.0,Yes,Yes,,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),,5139.65,0
7660-HDPJV,Female,0.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,oN,No,Month-to-month,Yes,Electronic check,69.2,69.2,1
5115-SQAAU,Female,18.37901514654594,Yes,Yes,69.0,Yes,Yes,,No internet sevrice,No internet service,No internet service,No internet service,No interne tservice,No internet service,,Yes,Bank transfer (automatic),25.6,1673.4,0
9845-QOMAD,Male,,Yes,Yes,14.0,Yes,No,,,,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.75,309.35,0
7672-VFMXZ,Male,0.0,Yes,No,57.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,2059.1492963913934,3171.6,0
9739-JLPQJ,Female,0.0,,Yes,72.0,Yes,Yes,iber optic,Yes,Yes,Yes,Yes,Yes,Yes,,No,Credit card (automatic),117.5,8670.1,0
9916-AYHTC,Male,0.0,oN,No,1708.5376145222538,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.85,916,0
3855-ONCAR,Female,0.0,Yes,Yes,4.0,Yes,No,,No,No,No,No,Yes,,MONTH-TO-MONTH,Yes,Mailed check,78.9,299.75,0
1488-SYSFC,Male,0.0,Yes,Yes,31.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No interne tesrvice,No internet service,Month-to-month,Yes,Electronic check,20.65,702.05,0
7931-PXHFC,Male,0.0,No,No,38.0,Yes,No,DSL,,No,Yes,Yes,No,Yes,,Yes,Mailed check,62.3,2354.8,1
3990-QYKBE,,1.0,Yes,No,37.0,Yes,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.5,3473.4,1
0970-QXPXW,Female,,No,No,1.0,Yes,No,No,,,,No internet service,No internet service,,Month-to-month,No,Mailed check,19.65,19.65,0
3259-KNMRR,,,No,No,57.0,Yes,Yes,DSL,No,,Yes,No,Yes,Yes,,Yes,Bank transfer (automatic),79.75,4438.2,0
6120-RJKLU,Female,1.0,Yes,No,62.0,Yes,No,DSL,Yes,,Yes,Yes,Yes,,Two year,Yes,Credit card (automatic),79.95,4819.75,0
9572-WUKSB,Male,0.0,Yes,,3.0,No,No phone service,DSL,No,,No,Yes,No,No,Month-to-month,Yes,Electronic check,29.9,92.25,0
5893-KCLGT,Female,0.0,No,Yes,1948.5376145222538,Yes,No,oN,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,Yes,Mailed check,19.75,1567,0
0076-LVEPS,,0.0,No,Yes,29.0,No,No phone service,DSL,Yes,Yes,,Yes,,No,Month-to-month,Yes,Mailed check,45.0,1242.45,0
3640-JQGJG,Male,,Yes,Yes,13.0,Yes,No,DS,No,No,No,,No,No,Month-to-month,No,Bank transfer (automatic),44.8,,0
4919-MOAVT,Male,0.0,No,Yes,3.0,Yes,No,Fiber optic,NO,No,No,No,No,oN,Month-to-month,,Electronic check,69.65,220.1,1
1596-OQSPS,Female,0.0,,No,11.0,Yes,oN,DSL,No,,No,,No,No,Month-to-month,No,Electronic check,51.1,531.15,0
9867-XOBQA,Female,0.0,No,Yes,21.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,oN,Mailed check,53.15,1183.2,0
9546-KDTRB,Female,0.0,No,No,19.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.7,465.85,0
3090-HAWSU,Male,,No,No,61.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),,6876.05,1
9820-RMCQV,Female,0.0,No,No,11.0,Yes,No,DSL,Yes,No,oN,oN,No,No,Month-to-month,No,Credit card (automatic),48.55,501,1
3174-RKMOW,Male,0.0,Yes,Yes,,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,,109.95,3782.4,0
1760-CAZHT,Male,0.0,No,Yes,25.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,460.2,0
7839-QRKXN,Female,,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,Yes,Mailed check,20.2,20.2,1
8441-SHIPE,Female,0.0,No,No,67.0,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.6,,0
5204-QZXPU,Male,,No,No,19.0,No,,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,39.65,,1
4597-ELFTS,Male,0.0,No,No,56.0,Yes,Yes,No,No internet service,No internet service,No internet service,No interne tservice,No internet service,No internet service,nOe year,No,Electronic check,24.9,1334,1
1320-GVNHT,Male,0.0,Yes,Yes,72.0,Yes,,Fiber optic,Yes,Ye,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),108.4,7767.25,0
1047-RNXZV,Male,0.0,No,No,43.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,,,876.15,0
3541-ZNUHK,Female,0.0,Yes,Yes,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.1,4600.95,0
8450-JOVAH,,0.0,Yes,Yes,2.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,56.7,113.55,1
8725-JEDFD,Male,0.0,No,No,27.0,Yes,No,,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.05,1793.25,0
7562-UXTPG,Female,0.0,No,No,,Yes,No,Fiber optic,No,No,No,,No,No,Month-to-month,Yes,Mailed check,,886.7,0
8071-SBTRN,Female,0.0,No,No,70.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,,Yes,,Two year,Yes,Mailed check,111.15,7737.55,0
1113-IUJYX,Female,0.0,Yes,No,14.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,105.95,1348.9,1
6668-CNMFP,Female,0.0,Yes,Yes,19.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,,,89.35,1686.85,0
5626-MGTUK,Female,0.0,No,No,20.0,Yes,Yes,Fiber optic,Yes,No,No,oN,Yes,No,,Yes,Bank transfer (automatic),89.1,1879.25,0
5681-LLOEI,Male,18.37901514654594,Yes,Yes,43.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),91.25,4013.8,0
8212-DJRCH,Male,0.0,Yes,Yes,5.0,Yes,No,,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,90.35,434.5,0
4323-OHFOW,Female,,,No,70.0,Yes,Yes,Fiber ptic,No,Yes,No,Yes,Yes,Yes,One year,Yes,,,7195.35,0
4933-BSAIP,Female,18.37901514654594,Yes,,40.0,Yes,No,No,No internet service,No internet service,No internet srvice,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.1,780.1,0
2030-BTZRO,Male,0.0,Yes,Yes,6.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,NO INTERNET SERVICE,No internet service,Two year,Yes,Credit card (automatic),20.4,107.6,0
1116-DXXDF,,0.0,No,No,39.0,Yes,No,Fiber optic,,No,Yes,No,,Yes,Two year,Yes,Electronic check,100.45,3801.7,0
9274-CNFMO,Male,1.0,,No,4.0,Yes,Yes,Fiber optic,No,No,No,No,No,,Month-to-month,,Electronic check,2251.6492963913934,308.7,1
7758-XKCBS,Male,0.0,No,No,15.0,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,eYs,Electronic check,29.7,438.25,1
8992-JQYUN,Male,,Yes,No,1.0,No,NO PHONE SERVICE,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,,50.35,1
6563-VNPMN,Female,,No,No,45.0,Yes,No,Fiber optic,Yes,Yes,No,Ye,No,No,Month-to-month,Yes,Bank transfer (automatic),,3778.1,0
0617-AQNWT,Female,0.0,Yes,No,64.0,No,No phone service,DSL,,NO,Yes,Yes,No,Yes,Two year,No,Electronic check,47.85,3147.5,1
2267-WTPYD,Female,1.0,Yes,No,57.0,Yes,Yes,,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),94.0,5438.95,0
0270-THENM,Male,,Yes,Yes,72.0,Yes,Yes,DSL,Yes,,Yes,Yes,,No,Two year,No,aBnk transfer (automatic),69.85,5102.35,0
2446-PLQVO,Male,0.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,,No,No,Month-o-month,,Electronic check,70.3,70.3,1
4707-MAXGU,Male,0.0,Yes,No,,Yes,Yes,No,No internet service,No internet service,,No internet service,No internet service,No internet service,To year,No,Credit card (automatic),25.85,1872.2,0
2710-WYVXG,Female,18.37901514654594,No,No,3.0,Yes,No,,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,,2133.5,0
3005-NFMTA,Male,1.0,,No,55.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Ye,Month-to-month,Yes,Electronic check,,5617.75,1
6300-BWMJX,Female,,Yes,,59.0,Yes,Yes,Fiber optic,No,No,Yes,,Yes,oN,Month-to-month,No,Electronic check,,5386.5,0
8784-CGILN,Female,0.0,No,,18.0,Yes,Yes,Fiber optic,No,No,No,,Yes,Yes,Month-to-month,Yes,,99.85,1776.95,1
5389-FFVKB,Male,1.0,Yes,No,32.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,,80.3,2483.05,1
7009-LGECI,Female,18.37901514654594,No,No,,Yes,No,DSL,Yes,No,No,No,,No,Month-to-month,Yes,Bank transfer (automatic),50.55,235.65,0
8444-WRIDW,,1.0,No,No,66.0,Yes,Yes,Fiber optic,No,Yes,No,No,,No,Month-to-month,Yes,Credit card (automatic),,5224.35,1
5022-KVDQT,Male,0.0,,No,27.0,Yes,Yes,Fiber optic,No,No,Yes,No,,No,,Yes,Electronic check,81.3,2272.8,0
7976-CICYS,Male,0.0,No,No,4.0,Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),,83.75,0
1036-GUDCL,Male,0.0,Yes,Yes,60.0,Yes,No,DSL,Yes,,No,,Yes,Ys,Month-to-month,,Credit card (automatic),79.05,4663.4,0
2005-DWQZJ,Female,0.0,Yes,Yes,,Yes,No,No,No internet service,No internet service,No internet service,NO INTERNET SERVICE,No internet service,NO INTERNET SERVICE,Two year,No,Mailed check,19.05,201.7,0
8148-WOCMK,Male,,Yes,Yes,1308.5376145222538,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.6,125,0
7815-PDTHL,Male,,,No,35.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Two year,Yes,Mailed check,20.2,684.4,0
9451-LPGOO,Male,0.0,,No,7.0,Yes,Yes,Fiber optic,,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.8,620.35,1
9173-IVZVP,Female,0.0,Yes,,53.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.9,146.05,0
9129-UXERG,Female,1.0,No,No,18.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,,Yes,,Yes,Credit card (automatic),103.6,,0
3635-JBPSG,eFmale,0.0,No,No,15.0,No,,DSL,No,,oN,No,,Yes,Two year,Yes,Mailed check,38.8,603,0
7964-ZRKKG,Male,0.0,Yes,No,67.0,Yes,Yes,,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),88.4,5798.3,0
5868-YWPDW,Male,1.0,Yes,No,6.0,Yes,No,Fiber optic,,Yes,No,No,,Yes,Month-to-month,Yes,Electronic check,84.2,519.15,1
6229-LSCKB,Male,1.0,No,No,6.0,Yes,No,FIBER OPTIC,No,No,,No,Yes,,Month-to-month,Yes,Electronic check,79.7,,0
2025-JKFWI,,0.0,No,No,13.0,Yes,Yes,Fiber optic,No,,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.0,1301.7,1
4078-SAYYN,FEMALE,0.0,No,No,11.0,Yes,Yes,Fiber optic,No,No,,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.75,1129.75,1
1724-IQWNM,Male,0.0,No,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.3,19.3,0
8217-QYOHV,Male,0.0,No,NO,5.0,Yes,,DSL,Yes,No,No,Yes,No,No,Month-to-month,,Mailed check,55.75,,0
5546-QUERU,Male,0.0,No,No,13.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.95,257,0
9940-HPQPG,Female,0.0,Yes,No,9.0,Yes,,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),2419.6492963913934,,1
6897-UUBNU,Male,0.0,No,No,29.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,NO,Month-to-month,No,Mailed check,,2623.65,0
6127-IYJOZ,Male,1.0,No,No,1.0,Yes,No,,No,No,No,,No,No,Month-to-month,eYs,Mailed check,45.85,45.85,0
6618-RYATB,Female,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.55,79.55,1
8930-XOTDP,Female,0.0,Yes,Yes,18.0,Yes,No,DSL,No,No,No,No,Yes,,Month-to-month,No,Mailed check,55.95,1082.8,0
5916-QEWPT,Female,0.0,Yes,No,2.0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),69.0,,0
5060-TQUQN,,0.0,Yes,Yes,,Yes,Yes,Fiber optic,No,,No,Yes,,No,Month-to-month,Yes,Bank transfer (automatic),,2570.2,0
0531-XBKMM,Male,0.0,,Yes,66.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),,4378.9,0
8465-SBRXP,Male,,Yes,Yes,38.0,Yes,Yes,,No,No,Yes,Yes,,No,Two year,Yes,Bank transfer (automatic),94.9,3616.25,0
2408-PSJVE,Male,0.0,,Yes,44.0,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,,61.9,2924.05,0
9079-YEXQJ,Female,0.0,No,No,54.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,111.1,6014.85,1
9700-ZCLOT,Male,0.0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,,0
8738-JOKAR,Female,0.0,No,oN,42.0,Yes,,DLS,Yes,Yes,No,Yes,No,Yes,One year,Yes,,67.7,2882.25,0
4534-WGCIR,Female,0.0,,Yes,58.0,Yes,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.15,,0
1930-WNXSB,Male,0.0,Yes,Yes,,Yes,No,Fiber optic,No,eYs,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.85,5305.05,0
2685-SREOM,Female,0.0,Yes,Yes,25.0,Yes,Yes,Fiber optic,No,No,Yes,No,,Yes,,Yes,Electronic check,89.1,2368.4,1
3508-CFVZL,Female,0.0,No,No,71.0,Yes,Yes,Fiber optic,Yes,,Yes,Yes,Yes,Yes,Two year,No,Mailed check,111.3,7985.9,0
0402-CQAJN,Female,0.0,No,No,37.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.9,3545.35,1
6692-UDPJC,Female,0.0,Yes,Yes,14.0,Yes,Yes,Fiber optic,No,No,No,Yes,,No,Month-to-month,Yes,Electronic check,91.65,1301,1
1273-MTETI,Female,1.0,No,No,4.0,Yes,Yes,Fiber optic,oN,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.85,372.45,1
0657-DOGUM,Female,0.0,Yes,No,48.0,Yes,Yes,DSL,Yes,No,No,Yes,No,,One year,Yes,Bank transfer (automatic),60.6,,0
5480-HPRRX,Female,,No,No,3.0,No,No phone service,DSL,No,No,No,No,,No,Month-to-month,,,25.3,77.75,1
8792-AOROI,Female,,Yes,oN,8.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,65.5,564.35,0
0295-PPHDO,Male,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,es,Electronic check,95.45,,1
5146-YYFRZ,Male,0.0,No,No,67.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.95,1311.75,0
1195-OIYEJ,Male,0.0,No,No,13.0,Yes,,Fiber optic,No,No,No,No,Yes,Yes,,,Electronic check,91.1,1135.7,1
5906-CVLHP,Female,0.0,Yes,Yes,45.0,Yes,No,DSL,No,Yes,No,,No,No,One year,Yes,Credit card (automatic),54.15,2319.8,1
3452-SRFEG,Male,0.0,No,No,49.0,Yes,Yes,,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.6,3720.35,0
4070-OKWVH,Female,0.0,Yes,No,52.0,Yes,YES,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,ON,Bank transfer (automatic),94.6,5025.8,0
5297-MDOIR,Female,0.0,Yes,No,63.0,Yes,,Fiber optic,Yes,No,Yes,No,No,No,One year,YES,Credit card (automatic),81.15,5224.5,0
6369-MCAKO,Female,0.0,Yes,Yes,68.0,Yes,Yes,DSL,Yes,Yes,Yes,,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6185.8,0
